,result,time
0,False,1519068857
1,False,1519068862
2,False,1519068868
3,False,1519068873
4,False,1519068879
5,False,1519068885
6,False,1519068890
7,False,1519068896
8,False,1519068901
9,False,1519068907
10,False,1519068912
11,False,1519068918
12,False,1519068923
13,False,1519068929
14,False,1519068935
15,False,1519068940
16,False,1519068946
17,False,1519068951
18,False,1519068957
19,False,1519068962
20,False,1519068968
21,False,1519068974
22,False,1519068979
23,False,1519068985
24,False,1519068990
25,False,1519068996
26,False,1519069001
27,False,1519069007
28,False,1519069013
29,False,1519069018
30,False,1519069024
31,False,1519069029
32,False,1519069035
33,False,1519069040
34,False,1519069046
35,False,1519069051
36,False,1519069057
37,False,1519069062
38,False,1519069068
39,False,1519069074
40,False,1519069079
41,False,1519069085
42,False,1519069090
43,False,1519069096
44,False,1519069101
45,False,1519069107
46,False,1519069112
47,False,1519069118
48,False,1519069124
49,False,1519069129
50,False,1519069135
51,False,1519069140
52,False,1519069146
53,False,1519069151
54,False,1519069157
55,False,1519069163
56,False,1519069168
57,False,1519069174
58,False,1519069179
59,False,1519069185
60,False,1519069190
61,False,1519069196
62,False,1519069201
63,False,1519069207
64,False,1519069213
65,False,1519069218
66,False,1519069224
67,False,1519069229
68,False,1519069235
69,False,1519069240
70,False,1519069246
71,False,1519069251
72,False,1519069257
73,False,1519069263
74,False,1519069268
75,False,1519069274
76,False,1519069279
77,False,1519069285
78,False,1519069290
79,False,1519069296
80,False,1519069302
81,False,1519069307
82,False,1519069313
83,False,1519069318
84,False,1519069324
85,False,1519069329
86,False,1519069335
87,False,1519069340
88,False,1519069346
89,False,1519069352
90,False,1519069357
91,False,1519069363
92,False,1519069368
93,False,1519069374
94,False,1519069379
95,False,1519069385
96,False,1519069391
97,False,1519069396
98,False,1519069402
99,False,1519069407
100,False,1519069413
101,False,1519069418
102,False,1519069424
103,False,1519069430
104,False,1519069435
105,False,1519069441
106,False,1519069446
107,False,1519069452
108,False,1519069457
109,False,1519069463
110,False,1519069468
111,False,1519069474
112,False,1519069479
113,False,1519069485
114,False,1519069491
115,False,1519069496
116,False,1519069502
117,False,1519069507
118,False,1519069513
119,True,1519069518
120,True,1519069524
121,False,1519069530
122,False,1519069535
123,False,1519069541
124,False,1519069546
125,False,1519069552
126,False,1519069557
127,False,1519069563
128,False,1519069568
129,True,1519069574
130,True,1519069580
131,False,1519069585
132,False,1519069591
133,False,1519069596
134,False,1519069602
135,False,1519069607
136,False,1519069613
137,False,1519069619
138,False,1519069624
139,False,1519069630
140,False,1519069635
141,False,1519069641
142,False,1519069646
143,False,1519069652
144,False,1519069658
145,False,1519069663
146,False,1519069669
147,False,1519069674
148,False,1519069680
149,False,1519069685
150,False,1519069691
151,False,1519069696
152,False,1519069702
153,False,1519069708
154,False,1519069713
155,False,1519069719
156,False,1519069724
157,False,1519069730
158,False,1519069735
159,False,1519069741
160,False,1519069746
161,False,1519069752
162,False,1519069757
163,False,1519069763
164,False,1519069769
165,False,1519069774
166,False,1519069780
167,False,1519069785
168,False,1519069791
169,False,1519069796
170,False,1519069802
171,False,1519069807
